transaction_id,order_date,delivery_date,product_name,sales_channel,unit_cost_try,unit_price_try,dispatched_qty_kg,received_qty_kg,shrinkage_qty_kg,actual_lead_time_days,delay_days,gross_revenue_try,cogs_try,gross_margin_try,gross_margin_pct
TRX-0027,2025-01-02,2025-01-03,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,1,0,8539.2,3840.0,4699.2,55.03
TRX-0012,2025-01-05,2025-01-06,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,1,0,8539.2,3840.0,4699.2,55.03
TRX-0114,2025-01-09,2025-01-12,Cig Antep Fistigi,B2B - Toptan,380,520,50.0,48.9,1.1,3,0,25428.0,19000.0,6428.0,25.28
TRX-0207,2025-01-11,2025-01-12,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,1,0,1654.8,660.0,994.8,60.12
TRX-0235,2025-01-11,2025-01-14,Kucukbas Besi (Canli),B2B - Toptan,7500,12000,5.0,5.0,0.0,3,0,60000.0,37500.0,22500.0,37.5
TRX-0233,2025-01-13,2025-01-16,Kucukbas Besi (Canli),B2B - Toptan,7500,12000,5.0,5.0,0.0,3,0,60000.0,37500.0,22500.0,37.5
TRX-0107,2025-01-14,2025-01-16,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,2,0,8313.0,3800.0,4513.0,54.29
TRX-0190,2025-01-16,2025-01-19,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,2,1,1654.8,660.0,994.8,60.12
TRX-0127,2025-01-16,2025-01-18,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,2,0,2972.0,1200.0,1772.0,59.62
TRX-0174,2025-01-16,2025-01-18,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,1,1,1654.8,660.0,994.8,60.12
TRX-0126,2025-01-17,2025-01-19,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,2,0,2972.0,1200.0,1772.0,59.62
TRX-0008,2025-01-17,2025-01-20,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,3,0,8539.2,3840.0,4699.2,55.03
TRX-0120,2025-01-17,2025-01-19,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,2,0,2972.0,1200.0,1772.0,59.62
TRX-0169,2025-01-20,2025-01-22,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,2,0,1654.8,660.0,994.8,60.12
TRX-0052,2025-01-23,2025-01-24,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,1,0,8539.2,3840.0,4699.2,55.03
TRX-0029,2025-01-26,2025-01-29,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,3,0,8539.2,3840.0,4699.2,55.03
TRX-0187,2025-01-27,2025-01-28,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,1,0,1654.8,660.0,994.8,60.12
TRX-0091,2025-01-27,2025-01-31,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,3,1,8313.0,3800.0,4513.0,54.29
TRX-0189,2025-01-29,2025-02-02,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,3,1,1654.8,660.0,994.8,60.12
TRX-0227,2025-01-29,2025-02-01,Kucukbas Besi (Canli),D2C - Perakende,7500,14500,1.0,1.0,0.0,3,0,14500.0,7500.0,7000.0,48.28
TRX-0172,2025-01-30,2025-02-02,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,3,0,1654.8,660.0,994.8,60.12
TRX-0074,2025-01-30,2025-01-31,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,1,0,8313.0,3800.0,4513.0,54.29
TRX-0162,2025-01-30,2025-02-02,Pekmez,B2B - Toptan,160,230,25.0,24.75,0.25,3,0,5692.5,4000.0,1692.5,29.73
TRX-0152,2025-01-30,2025-02-02,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,3,0,2972.0,1200.0,1772.0,59.62
TRX-0021,2025-01-31,2025-02-04,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,3,1,8539.2,3840.0,4699.2,55.03
TRX-0150,2025-02-01,2025-02-03,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,1,1,2972.0,1200.0,1772.0,59.62
TRX-0223,2025-02-01,2025-02-03,Kucukbas Besi (Canli),D2C - Perakende,7500,14500,1.0,1.0,0.0,2,0,14500.0,7500.0,7000.0,48.28
TRX-0211,2025-02-01,2025-02-03,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,2,0,1654.8,660.0,994.8,60.12
TRX-0070,2025-02-02,2025-02-04,Bal,B2B - Toptan,320,440,40.0,39.52,0.48,2,0,17388.8,12800.0,4588.8,26.39
TRX-0122,2025-02-02,2025-02-03,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,1,0,2972.0,1200.0,1772.0,59.62
TRX-0226,2025-02-02,2025-02-03,Kucukbas Besi (Canli),D2C - Perakende,7500,14500,1.0,1.0,0.0,1,0,14500.0,7500.0,7000.0,48.28
TRX-0124,2025-02-04,2025-02-05,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,1,0,2972.0,1200.0,1772.0,59.62
TRX-0135,2025-02-05,2025-02-06,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,1,0,2972.0,1200.0,1772.0,59.62
TRX-0037,2025-02-08,2025-02-09,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,1,0,8539.2,3840.0,4699.2,55.03
TRX-0050,2025-02-11,2025-02-13,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,2,0,8539.2,3840.0,4699.2,55.03
TRX-0034,2025-02-11,2025-02-14,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,3,0,8539.2,3840.0,4699.2,55.03
TRX-0139,2025-02-11,2025-02-14,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,3,0,2972.0,1200.0,1772.0,59.62
TRX-0108,2025-02-14,2025-02-18,Cig Antep Fistigi,B2B - Toptan,380,520,50.0,48.9,1.1,4,0,25428.0,19000.0,6428.0,25.28
TRX-0218,2025-02-15,2025-02-19,Kuru Uzum,B2B - Toptan,110,160,28.7,28.27,0.43,4,0,4523.2,3157.0,1366.2,30.2
TRX-0200,2025-02-15,2025-02-16,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,1,0,1654.8,660.0,994.8,60.12
